"BusinessName","Telephone","Email","EmailHost","WebsiteURL","Linkedin","FacebookProfile","FacebookMessenger","Instagram","Twitter","Google_Rank","DomainRegistered","DomainExpiry","DomainNameserver","DomainRegistrar","Instagram_Followers","Instagram_Follows","Instagram_TotalPhotos","Instagram_Average_Likes","Instagram_Average_Comments","Instagram_Is_verified","Instagram_HighlightReel_Count","Instagram_Is_BizAccount","Instagram_AccountName","YelpAds","FBMessenger_Ads","FacebookAds","Instagram_Ads","Adwords_Ads","Gmaps_URL","GMB_Claimed","FacebookPixel","GooglePixel","CriteoPixel","GoogleStars","GoogleCount","YelpStars","Yelpcount","FacebookStars","Facebookcount","MainCategory","Address","City","State","ZIP","MobileFriendly","GoogleAnalytics","SchemaMarkup","UseWordpress","UseShopify","LinkedinAnalytics"
"Dr. Andrew Quoc Dutton","6568368000","info@eliteortho.com.sg","Pro Plan Only","https://www.drandrewdutton.com","https://www.linkedin.com/company/dr-andrew-dutton","","","","https://www.twitter.com/drandrewdutton","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro","Agency/Pro","Agency/Pro","Agency/Pro","Agency/Pro","Agency/Pro","Agency/Pro","Agency/Pro","Agency/Pro","Upgrade","Pro Plan Only","Pro Plan Only","Pro Plan Only","Pro Plan Only","https://maps.google.com/maps/place/Dr.+Andrew+Quoc+Dutton/@1.3050789,103.8355742,17z/data=!3m1!4b1!4m5!3m4!1s0x0:0xE2BF7C11044562B2!8m2!3d1.3050789!4d103.8355742","verified","Agency/Pro Plan Only","Agency/Pro Plan Only","Agency/Pro Plan Only","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","3 Mount Elizabeth,  #12-10","Singapore","SG","228510","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan"
"Raffles Japanese Clinic","6563111190","j-clinic@rafflesmedical.com","Pro Plan Only","http://www.rafflesj-clinic.com/","","","","","https://www.twitter.com/rafflesjpclinic","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro","Agency/Pro","Agency/Pro","Agency/Pro","Agency/Pro","Agency/Pro","Agency/Pro","Agency/Pro","Agency/Pro","Upgrade","Pro Plan Only","Pro Plan Only","Pro Plan Only","Pro Plan Only","https://maps.google.com/maps/place/Raffles+Japanese+Clinic/@1.301059,103.857096,17z/data=!3m1!4b1!4m5!3m4!1s0x0:0xBF1A1A40C2CFA656!8m2!3d1.301059!4d103.857096","verified","Agency/Pro Plan Only","Agency/Pro Plan Only","Agency/Pro Plan Only","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","585 N Bridge Rd, level 2 Raffles Japanese Clinic, 188770","","","","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan"
"WISDOM TEETH EXTRACTION CLINIC SINGAPORE","6565322644","director@nuffieldscholar.org","Pro Plan Only","https://www.wisdomteethsingapore.com.sg/","","","","","https://www.twitter.com/nuffielddental","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro","Agency/Pro","Agency/Pro","Agency/Pro","Agency/Pro","Agency/Pro","Agency/Pro","Agency/Pro","Agency/Pro","Upgrade","Pro Plan Only","Pro Plan Only","Pro Plan Only","Pro Plan Only","https://g.page/wisdomteethextractionsingapore","verified","Agency/Pro Plan Only","Agency/Pro Plan Only","Agency/Pro Plan Only","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","#05-19 WISDOM TEETH EXTRACTION CLINIC SINGAPORE 048616","","","","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan"
"ACADEMIC CENTRE & CLINIC PRIVATE LIMITED","66841481","registrar@adamson.edu.ph","Pro Plan Only","http://academic-clinic.com","","","","","https://www.twitter.com/acadclinic","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro","Agency/Pro","Agency/Pro","Agency/Pro","Agency/Pro","Agency/Pro","Agency/Pro","Agency/Pro","Agency/Pro","Upgrade","Pro Plan Only","Pro Plan Only","Pro Plan Only","Pro Plan Only","","1","Agency/Pro Plan Only","Agency/Pro Plan Only","Agency/Pro Plan Only","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","5 KOEK ROAD Singapore 228796","","","","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan"
"THE FAMILY CLINIC PTE. LTD.","6562950995","doctor@familydoctor.sg","Pro Plan Only","https://familydoctor.sg/","","","","","https://www.twitter.com/thefamilydr","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro","Agency/Pro","Agency/Pro","Agency/Pro","Agency/Pro","Agency/Pro","Agency/Pro","Agency/Pro","Agency/Pro","Upgrade","Pro Plan Only","Pro Plan Only","Pro Plan Only","Pro Plan Only","https://maps.google.com/maps/place/THE+FAMILY+CLINIC+PTE.+LTD./@1.3188799619675,103.86018371582,17z/data=!3m1!4b1!4m5!3m4!1s0x0:0x3FF6F13C6EE2554!8m2!3d1.3188799619675!4d103.86018371582","1","Agency/Pro Plan Only","Agency/Pro Plan Only","Agency/Pro Plan Only","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","101 TOWNER ROAD","Singapore","Singapore","322101","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan"
"Back II Life Raffles","6565364089","info@b2life.com","Pro Plan Only","http://b2life.com","","","","","https://www.twitter.com/back2lifesg","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro","Agency/Pro","Agency/Pro","Agency/Pro","Agency/Pro","Agency/Pro","Agency/Pro","Agency/Pro","Agency/Pro","Upgrade","Pro Plan Only","Pro Plan Only","Pro Plan Only","Pro Plan Only","https://g.page/Back2LifeSG","verified","Agency/Pro Plan Only","Agency/Pro Plan Only","Agency/Pro Plan Only","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","24 Raffles Pl, #17-05, Clifford Centre","Singapore","SG","048621","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan"
"NovaHealth TCM Clinic @City Hall (Flagship)","6565136265","contactus@novahealthtcm.com","Pro Plan Only","https://www.novahealthtcm.com/","https://www.linkedin.com/company/novahealth-tcm-clinic","","","","","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro","Agency/Pro","Agency/Pro","Agency/Pro","Agency/Pro","Agency/Pro","Agency/Pro","Agency/Pro","Agency/Pro","Upgrade","Pro Plan Only","Pro Plan Only","Pro Plan Only","Pro Plan Only","https://maps.google.com/maps/place/NovaHealth+TCM+Clinic+%40City+Hall+%28Flagship%29/@1.2930748,103.8510451,17z/data=!3m1!4b1!4m5!3m4!1s0x0:0x7D46CCBE55E4D068!8m2!3d1.2930748!4d103.8510451","verified","Agency/Pro Plan Only","Agency/Pro Plan Only","Agency/Pro Plan Only","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","#B1-11/12 NovaHealth TCM Clinic @City Hall (Flagship), Capitol Singapore, 178905","","","","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan"
"Drs Singh & Partners","6563388883","maryjane.kamsani@capitaland.com","Pro Plan Only","https://www.capitaland.com/sg/malls/rafflescity/en/stores/drs-singh-_-partners.html","https://www.linkedin.com/company/capitaland-limited","","","","","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro","Agency/Pro","Agency/Pro","Agency/Pro","Agency/Pro","Agency/Pro","Agency/Pro","Agency/Pro","Agency/Pro","Upgrade","Pro Plan Only","Pro Plan Only","Pro Plan Only","Pro Plan Only","https://g.page/drs-singh-partners","verified","Agency/Pro Plan Only","Agency/Pro Plan Only","Agency/Pro Plan Only","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","#02 - 16 Drs Singh & Partners","Singapore","","179103","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan"
"Killiney Medical Clinic","6567362998","killiney@qualitashealth.com.sg","Pro Plan Only","https://qualitashealth.com.sg/clinic/killiney-medical-clinic/","https://www.linkedin.com/company/qualitas-health-singapore","","","","","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro","Agency/Pro","Agency/Pro","Agency/Pro","Agency/Pro","Agency/Pro","Agency/Pro","Agency/Pro","Agency/Pro","Upgrade","Pro Plan Only","Pro Plan Only","Pro Plan Only","Pro Plan Only","https://maps.google.com/maps/place/Killiney+Medical+Clinic/@1.2989327,103.8395406,17z/data=!3m1!4b1!4m5!3m4!1s0x0:0xB089F3332D9C0C63!8m2!3d1.2989327!4d103.8395406","verified","Agency/Pro Plan Only","Agency/Pro Plan Only","Agency/Pro Plan Only","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","Killiney Medical Clinic 239522","Singapore","SG","239522","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan"
"Pinnacle Family Clinic (River Valley)","6568366986","pinnaclefcrv@gmail.com","Pro Plan Only","http://pinnaclefamilyclinic.com.sg/","https://www.linkedin.com/company/pinnacle-family-clinic","","","","","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro","Agency/Pro","Agency/Pro","Agency/Pro","Agency/Pro","Agency/Pro","Agency/Pro","Agency/Pro","Agency/Pro","Upgrade","Pro Plan Only","Pro Plan Only","Pro Plan Only","Pro Plan Only","https://maps.google.com/maps/place/Pinnacle+Family+Clinic+%28River+Valley%29/@1.2941429,103.8423476,17z/data=!3m1!4b1!4m5!3m4!1s0x0:0xFE22820FE56947EB!8m2!3d1.2941429!4d103.8423476","verified","Agency/Pro Plan Only","Agency/Pro Plan Only","Agency/Pro Plan Only","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","Pinnacle Family Clinic - River Valley 238297","Museum","Central","238297","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan"
"The Clifford Clinic - Aesthetics, Acne, Hair Transplant and Plastic Surgery","6565322400","thecliffordclinic@gmail.com","Pro Plan Only","http://cliffordclinic.com/","https://www.linkedin.com/company/the-clifford-clinic","","","","","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro","Agency/Pro","Agency/Pro","Agency/Pro","Agency/Pro","Agency/Pro","Agency/Pro","Agency/Pro","Agency/Pro","Upgrade","Pro Plan Only","Pro Plan Only","Pro Plan Only","Pro Plan Only","https://g.page/TheCliffordClinic","verified","Agency/Pro Plan Only","Agency/Pro Plan Only","Agency/Pro Plan Only","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","Collyer Quay","Singapore","Singapore","049318","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan"
"Central 24-Hr Clinic (Clementi) - CHAS | GP Clinic | 24 小时 诊所","6567732925","travelswab@centralclinic.com.sg","Pro Plan Only","https://www.centralclinic.com.sg/clementi-clinic-24-hour-clinic","https://www.linkedin.com/company/centramed-international-pte-ltd","","","","","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro","Agency/Pro","Agency/Pro","Agency/Pro","Agency/Pro","Agency/Pro","Agency/Pro","Agency/Pro","Agency/Pro","Upgrade","Pro Plan Only","Pro Plan Only","Pro Plan Only","Pro Plan Only","https://maps.google.com/maps/place/Central+24-Hr+Clinic+%28Clementi%29+-+CHAS+%7C+GP+Clinic+%7C+24+%E5%B0%8F%E6%97%B6+%E8%AF%8A%E6%89%80/@1.3135577,103.7654405,17z/data=!3m1!4b1!4m5!3m4!1s0x0:0xAA0BB3FDC5AD9ED3!8m2!3d1.3135577!4d103.7654405","verified","Agency/Pro Plan Only","Agency/Pro Plan Only","Agency/Pro Plan Only","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","#01-291 Central 24-Hr Clinic (Clementi) - CHAS | GP Clinic | 24 小时 诊所, Singapore 120450","Singapore","SG","738907","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan"
"SingHealth Polyclinics - Bukit Merah","6566436969","shp.helpinghands@singhealth.com.sg","Pro Plan Only","http://polyclinic.singhealth.com.sg/AboutUs/OurPolyclinics/Pages/SHP-BukitMerah.aspx","https://www.linkedin.com/company/singhealth-polyclinics","","","","","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro","Agency/Pro","Agency/Pro","Agency/Pro","Agency/Pro","Agency/Pro","Agency/Pro","Agency/Pro","Agency/Pro","Upgrade","Pro Plan Only","Pro Plan Only","Pro Plan Only","Pro Plan Only","https://maps.google.com/maps/place/SingHealth+Polyclinics+-+Bukit+Merah/@1.2840007,103.8171301,17z/data=!3m1!4b1!4m5!3m4!1s0x0:0xBDE5917300F2683F!8m2!3d1.2840007!4d103.8171301","verified","Agency/Pro Plan Only","Agency/Pro Plan Only","Agency/Pro Plan Only","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","#04-3565 SingHealth Polyclinics - Bukit Merah 150163","","","","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan"
"ProHealth Medical Group @Buangkok","6564818066","contactus@prohealth.sg","Pro Plan Only","http://www.prohealth.sg/","https://www.linkedin.com/company/prohealth-group-the","","","","","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro","Agency/Pro","Agency/Pro","Agency/Pro","Agency/Pro","Agency/Pro","Agency/Pro","Agency/Pro","Agency/Pro","Upgrade","Pro Plan Only","Pro Plan Only","Pro Plan Only","Pro Plan Only","https://maps.google.com/maps/place/ProHealth+Medical+Group+%40Buangkok/@1.3824447,103.8940775,17z/data=!3m1!4b1!4m5!3m4!1s0x0:0xB1EF5CB3DD6989A3!8m2!3d1.3824447!4d103.8940775","verified","Agency/Pro Plan Only","Agency/Pro Plan Only","Agency/Pro Plan Only","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","#01-01 (Unit 12 Prohealth Medical Group @ Buangkok 544275","","","","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan"
"mobiledoctorclinic","6562500625","mobiledoctor@mobiledoctor.com.sg","Pro Plan Only","http://www.mobiledoctorclinic.org/","https://www.linkedin.com/company/mw-global-pte-ltd","","","","","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro","Agency/Pro","Agency/Pro","Agency/Pro","Agency/Pro","Agency/Pro","Agency/Pro","Agency/Pro","Agency/Pro","Upgrade","Pro Plan Only","Pro Plan Only","Pro Plan Only","Pro Plan Only","https://g.page/mobiledoctorclinic","verified","Agency/Pro Plan Only","Agency/Pro Plan Only","Agency/Pro Plan Only","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","#01-52 mobiledoctorclinic 048660","","","","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan"
"Psycare Consultants","6567355612","ann@psycare.com.sg","Pro Plan Only","http://www.psycare.com.sg/","https://www.linkedin.com/company/psycare-consultants","","","","","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro","Agency/Pro","Agency/Pro","Agency/Pro","Agency/Pro","Agency/Pro","Agency/Pro","Agency/Pro","Agency/Pro","Upgrade","Pro Plan Only","Pro Plan Only","Pro Plan Only","Pro Plan Only","https://maps.google.com/maps/place/Psycare+Consultants/@1.2900089,103.8494332,17z/data=!3m1!4b1!4m5!3m4!1s0x0:0x1D8345AAA4F49805!8m2!3d1.2900089!4d103.8494332","verified","Agency/Pro Plan Only","Agency/Pro Plan Only","Agency/Pro Plan Only","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","#06-33 Psycare Consultants","Singapore","","178882","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan"
"Bridgepoint Health (Everton Park Clinic)","6562262066","maritime@bridgepointhealth.sg","Pro Plan Only","https://www.bridgepointhealth.sg/","https://www.linkedin.com/company/bridgepoint-health-sg","","","","","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro","Agency/Pro","Agency/Pro","Agency/Pro","Agency/Pro","Agency/Pro","Agency/Pro","Agency/Pro","Agency/Pro","Upgrade","Pro Plan Only","Pro Plan Only","Pro Plan Only","Pro Plan Only","https://g.page/AMCEP","verified","Agency/Pro Plan Only","Agency/Pro Plan Only","Agency/Pro Plan Only","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","#01-41 Bridgepoint Health (Everton Park Clinic) 081001","","","","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan"
"Paragon Medical","6567321430","medicalconcierge@straitsproperties.com.sg","Pro Plan Only","https://paragonmedical.com.sg/","https://www.linkedin.com/company/paragon-clinics","","","","","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro","Agency/Pro","Agency/Pro","Agency/Pro","Agency/Pro","Agency/Pro","Agency/Pro","Agency/Pro","Agency/Pro","Upgrade","Pro Plan Only","Pro Plan Only","Pro Plan Only","Pro Plan Only","https://maps.google.com/maps/place/Paragon+Medical/@1.3044521,103.8360974,17z/data=!3m1!4b1!4m5!3m4!1s0x0:0x7EE147BD23438B11!8m2!3d1.3044521!4d103.8360974","verified","Agency/Pro Plan Only","Agency/Pro Plan Only","Agency/Pro Plan Only","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","Paragon Medical, Singapore 238859","Singapore","SG","238859","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan"
"1 Medical Teck Ghee","6562517030","corporate@aspenhealth.sg","Pro Plan Only","http://www.heartlandhealth.sg/","https://www.linkedin.com/company/heartlandhealth-singapore","","","","","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro","Agency/Pro","Agency/Pro","Agency/Pro","Agency/Pro","Agency/Pro","Agency/Pro","Agency/Pro","Agency/Pro","Upgrade","Pro Plan Only","Pro Plan Only","Pro Plan Only","Pro Plan Only","https://maps.google.com/maps/place/1+Medical+Teck+Ghee/@1.3626873,103.854642,17z/data=!3m1!4b1!4m5!3m4!1s0x0:0xFC2D85A87DC93C55!8m2!3d1.3626873!4d103.854642","verified","Agency/Pro Plan Only","Agency/Pro Plan Only","Agency/Pro Plan Only","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","#01-837 1 Medical Teck Ghee 560410","","","","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan"
"The Orthopaedic Centre Novena (Main Clinic) - Orthopaedic Specialists Singapore","6563395063","alvernia@asianhealthcare.com.sg","Pro Plan Only","https://asianhealthcare.com.sg/our-services/orthopaedic/","https://www.linkedin.com/company/asian-healthcare-specialist-limited","","","","","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro","Agency/Pro","Agency/Pro","Agency/Pro","Agency/Pro","Agency/Pro","Agency/Pro","Agency/Pro","Agency/Pro","Upgrade","Pro Plan Only","Pro Plan Only","Pro Plan Only","Pro Plan Only","https://g.page/TheOrthopaedicCentre","verified","Agency/Pro Plan Only","Agency/Pro Plan Only","Agency/Pro Plan Only","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","Mount Elizabeth Novena Hospital","Singapore","","308563","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan"
"Orthopaedic Clinic Singapore - Limb Salvage and Revision Arthroplasty Surgery Pte Ltd","6567355576","info@limbsalvagesurgery.com","Pro Plan Only","http://www.limbsalvagesurgery.com/","https://www.linkedin.com/in/suresh-nathan-b2965a130","","","","","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro","Agency/Pro","Agency/Pro","Agency/Pro","Agency/Pro","Agency/Pro","Agency/Pro","Agency/Pro","Agency/Pro","Upgrade","Pro Plan Only","Pro Plan Only","Pro Plan Only","Pro Plan Only","https://maps.google.com/maps/place/Orthopaedic+Clinic+Singapore+-+Limb+Salvage+and+Revision+Arthroplasty+Surgery+Pte+Ltd/@1.3055915,103.8354837,17z/data=!3m1!4b1!4m5!3m4!1s0x0:0xC5C94B005314D18B!8m2!3d1.3055915!4d103.8354837","verified","Agency/Pro Plan Only","Agency/Pro Plan Only","Agency/Pro Plan Only","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","#13-07 Orthopaedic Clinic Singapore - Limb Salvage and Revision Arthroplasty Surgery Pte Ltd, Medica","","","","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan"
"EVERCARE MEDICAL CLINIC (475) PTE. LTD.","6567666465","medizintechnik@heintel.at","Pro Plan Only","https://www.evercare-medical.com/","https://www.linkedin.com/company/evercaremedical","","","","","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro","Agency/Pro","Agency/Pro","Agency/Pro","Agency/Pro","Agency/Pro","Agency/Pro","Agency/Pro","Agency/Pro","Upgrade","Pro Plan Only","Pro Plan Only","Pro Plan Only","Pro Plan Only","https://maps.google.com/maps/place/EVERCARE+MEDICAL+CLINIC+%28475%29+PTE.+LTD./@1.3021999597549,103.82922363281,17z/data=!3m1!4b1!4m5!3m4!1s0x0:0x8D020B7877CB919D!8m2!3d1.3021999597549!4d103.82922363281","1","Agency/Pro Plan Only","Agency/Pro Plan Only","Agency/Pro Plan Only","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","4 JALAN TUPAI","Singapore","Singapore","249135","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan"
"Chan Peng Mun Dr Clinic&Surgery","6567336060","annika.phillips@bhgrealestate.com","Pro Plan Only","https://www.yelp.ca/biz/chan-peng-mun-dr-clinic-and-surgery-singapore","https://www.linkedin.com/company/yelp-com","","","","","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro","Agency/Pro","Agency/Pro","Agency/Pro","Agency/Pro","Agency/Pro","Agency/Pro","Agency/Pro","Agency/Pro","Upgrade","Pro Plan Only","Pro Plan Only","Pro Plan Only","Pro Plan Only","https://maps.google.com/maps/place/Chan+Peng+Mun+Dr+Clinic%26Surgery/@1.3016760349274,103.84014129639,17z/data=!3m1!4b1!4m5!3m4!1s0x0:0xEAA003B86A1E5DFD!8m2!3d1.3016760349274!4d103.84014129639","1","Agency/Pro Plan Only","Agency/Pro Plan Only","Agency/Pro Plan Only","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","5 Koek Road","Singapore","Singapore","22","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan"
"ORCHARD HEALTH CLINIC PTE. LTD.","63369577","jobs@orchardhealthclinic.com","Pro Plan Only","https://www.orchardhealthclinic.com/","https://www.linkedin.com/company/orchard-health-clinic","","","","","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro","Agency/Pro","Agency/Pro","Agency/Pro","Agency/Pro","Agency/Pro","Agency/Pro","Agency/Pro","Agency/Pro","Upgrade","Pro Plan Only","Pro Plan Only","Pro Plan Only","Pro Plan Only","https://g.page/orchardhealthclinic","1","Agency/Pro Plan Only","Agency/Pro Plan Only","Agency/Pro Plan Only","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","9 PENANG ROAD Singapore 238459","Singapore","","238853","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan"
